latitude,longitude
28.5700,77.2433
28.5710,77.2443
28.5720,77.2452
28.5730,77.2460
28.5740,77.2467
28.5750,77.2473
28.5760,77.2478
28.5770,77.2481
28.5780,77.2483
28.5790,77.2483
28.5800,77.2481
28.5810,77.2477
28.5818,77.2471
28.5825,77.2464
28.5830,77.2456
28.5833,77.2447
28.5835,77.2437
28.5835,77.2427
28.5833,77.2417
28.5829,77.2408
28.5824,77.2399
28.5817,77.2392
28.5809,77.2385
28.5800,77.2380
28.5791,77.2376
28.5782,77.2373
28.5773,77.2371
28.5764,77.2370
28.5756,77.2371
28.5748,77.2373
28.5740,77.2377
28.5733,77.2383
28.5727,77.2390
28.5722,77.2398
28.5718,77.2407
28.5715,77.2416
28.5714,77.2426
28.5700,77.2433
