frame_index,latitude,longitude
0,28.6484,77.1996
30,28.649528,77.199529
60,28.650638,77.199317
90,28.651713,77.198968
120,28.652736,77.198487
150,28.65369,77.197881
180,28.654561,77.197161
210,28.655335,77.196337
240,28.655999,77.195422
270,28.656543,77.194432
300,28.65696,77.193381
330,28.657241,77.192286
360,28.657382,77.191165
390,28.657382,77.190035
420,28.657241,77.188914
450,28.65696,77.187819
480,28.656543,77.186768
510,28.655999,77.185778
540,28.655335,77.184863
570,28.654561,77.184039
600,28.65369,77.183319
630,28.652736,77.182713
660,28.651713,77.182232
690,28.650638,77.181883
720,28.649528,77.181671
750,28.6484,77.1816
780,28.647272,77.181671
810,28.646162,77.181883
840,28.645087,77.182232
870,28.644064,77.182713
900,28.64311,77.183319
930,28.642239,77.184039
960,28.641465,77.184863
990,28.640801,77.185778
1020,28.640257,77.186768
1050,28.63984,77.187819
1080,28.639559,77.188914
1110,28.639418,77.190035
1140,28.639418,77.191165
1170,28.639559,77.192286
1200,28.63984,77.193381
1230,28.640257,77.194432
1260,28.640801,77.195422
1290,28.641465,77.196337
1320,28.642239,77.197161
1350,28.64311,77.197881
1380,28.644064,77.198487
1410,28.645087,77.198968
1440,28.646162,77.199317
1470,28.647272,77.199529
1500,28.6484,77.1996
1530,28.649528,77.199529
1560,28.650638,77.199317
1590,28.651713,77.198968
1620,28.652736,77.198487
1650,28.65369,77.197881
1680,28.654561,77.197161
1710,28.655335,77.196337
1740,28.655999,77.195422
1770,28.656543,77.194432
1800,28.65696,77.193381
1830,28.657241,77.192286
1860,28.657382,77.191165
1890,28.657382,77.190035
1920,28.657241,77.188914
1950,28.65696,77.187819
1980,28.656543,77.186768
2010,28.655999,77.185778
2040,28.655335,77.184863
2070,28.654561,77.184039
2100,28.65369,77.183319
2130,28.652736,77.182713
2160,28.651713,77.182232
2190,28.650638,77.181883
2220,28.649528,77.181671
2250,28.6484,77.1816
2280,28.647272,77.181671
2310,28.646162,77.181883
2340,28.645087,77.182232
2370,28.644064,77.182713
2400,28.64311,77.183319
2430,28.642239,77.184039
2460,28.641465,77.184863
2490,28.640801,77.185778
2520,28.640257,77.186768
2550,28.63984,77.187819
2580,28.639559,77.188914
2610,28.639418,77.190035
2640,28.639418,77.191165
2670,28.639559,77.192286
2700,28.63984,77.193381
2730,28.640257,77.194432
2760,28.640801,77.195422
2790,28.641465,77.196337
2820,28.642239,77.197161
2850,28.64311,77.197881
2880,28.644064,77.198487
2910,28.645087,77.198968
2940,28.646162,77.199317
2970,28.647272,77.199529
