frame_index,latitude,longitude
0,28.6315,77.2247
30,28.632503,77.224637
60,28.63349,77.224449
90,28.634445,77.224138
120,28.635354,77.22371
150,28.636202,77.223172
180,28.636976,77.222532
210,28.637664,77.221799
240,28.638255,77.220987
270,28.638739,77.220106
300,28.639108,77.219172
330,28.639358,77.218199
360,28.639484,77.217202
390,28.639484,77.216198
420,28.639358,77.215201
450,28.639108,77.214228
480,28.638739,77.213294
510,28.638255,77.212413
540,28.637664,77.211601
570,28.636976,77.210868
600,28.636202,77.210228
630,28.635354,77.20969
660,28.634445,77.209262
690,28.63349,77.208951
720,28.632503,77.208763
750,28.6315,77.2087
780,28.630497,77.208763
810,28.62951,77.208951
840,28.628555,77.209262
870,28.627646,77.20969
900,28.626798,77.210228
930,28.626024,77.210868
960,28.625336,77.211601
990,28.624745,77.212413
1020,28.624261,77.213294
1050,28.623892,77.214228
1080,28.623642,77.215201
1110,28.623516,77.216198
1140,28.623516,77.217202
1170,28.623642,77.218199
1200,28.623892,77.219172
1230,28.624261,77.220106
1260,28.624745,77.220987
1290,28.625336,77.221799
1320,28.626024,77.222532
1350,28.626798,77.223172
1380,28.627646,77.22371
1410,28.628555,77.224138
1440,28.62951,77.224449
1470,28.630497,77.224637
1500,28.6315,77.2247
1530,28.632503,77.224637
1560,28.63349,77.224449
1590,28.634445,77.224138
1620,28.635354,77.22371
1650,28.636202,77.223172
1680,28.636976,77.222532
1710,28.637664,77.221799
1740,28.638255,77.220987
1770,28.638739,77.220106
1800,28.639108,77.219172
1830,28.639358,77.218199
1860,28.639484,77.217202
1890,28.639484,77.216198
1920,28.639358,77.215201
1950,28.639108,77.214228
1980,28.638739,77.213294
2010,28.638255,77.212413
2040,28.637664,77.211601
2070,28.636976,77.210868
2100,28.636202,77.210228
2130,28.635354,77.20969
2160,28.634445,77.209262
2190,28.63349,77.208951
2220,28.632503,77.208763
2250,28.6315,77.2087
2280,28.630497,77.208763
2310,28.62951,77.208951
2340,28.628555,77.209262
2370,28.627646,77.20969
2400,28.626798,77.210228
2430,28.626024,77.210868
2460,28.625336,77.211601
2490,28.624745,77.212413
2520,28.624261,77.213294
2550,28.623892,77.214228
2580,28.623642,77.215201
2610,28.623516,77.216198
2640,28.623516,77.217202
2670,28.623642,77.218199
2700,28.623892,77.219172
2730,28.624261,77.220106
2760,28.624745,77.220987
2790,28.625336,77.221799
2820,28.626024,77.222532
2850,28.626798,77.223172
2880,28.627646,77.22371
2910,28.628555,77.224138
2940,28.62951,77.224449
2970,28.630497,77.224637
